GENE; control 20 min;MazF 20 min; control 1h;MazF 1h;MazF regulon
yggN;-1.268816829;-1.486003995;0.718964338;-0.483984917;no
yaaA;0.153156772;-0.588573694;1.200378895;-0.696657658;no
hemH;0.240008965;-1.064917564;1.482331991;-0.899695039;no
nudE;-1.810966253;-2.547931671;0.983312845;-1.005782366;no
ihfB;-1.061902404;-2.343732595;1.676267505;-1.032093644;no
ihfA;-1.237863898;-2.300448418;1.48645699;-1.114035249;no
thiI;-1.954557061;-1.21089673;0.440420717;-1.200912714;no
aldA;2.427338123;-1.095419526;3.94738555;-1.237863898;no
gmhA;-1.171368361;-2.190997362;1.244886994;-1.365871429;no
cspA;-0.256700456;-1.411195517;1.265436888;-1.438307285;no
glnB;-1.430508971;-2.418889761;1.119024038;-1.461958528;no
acs;3.62398386;-1.552156448;4.324594498;-1.486003995;no
yhbS;-0.545824111;-1.862496495;1.330558419;-1.506352663;no
gatY;2.303050041;-1.314732552;3.717868328;-1.539519429;no
yjgA;-1.639354706;-2.26534462;0.716332495;-1.573466897;no
grpE;-0.974262416;-2.20423317;1.277389765;-1.666576266;no
hinT;-1.258425117;-2.329159737;1.486971736;-1.761213183;no
dadA;1.768078446;-1.780908942;3.648465395;-1.761213183;no
ahpF;-0.192645073;-1.751465201;0.954568565;-1.841662884;no
yraP;-1.164884329;-2.358453989;1.219091058;-1.921390176;no
galT;1.95121479;-1.915935755;2.957728863;-1.965784192;no
ydbK;-0.32553938;-4.083141327;1.628540277;-2.089267254;no
dppA;1.025737524;-2.070966482;2.870265961;-2.126580477;no
lpp;-1.224317312;-3.237863779;1.113700509;-2.158429384;no
ydcY;-2.083141327;-3.26534462;0.891419172;-2.158429384;no
yejK;-1.621488452;-2.506352663;0.973794937;-2.164884329;no
ygdH;-0.021804349;-2.058893681;1.55973649;-2.177881718;no
ahpC;-0.06491752;-2.20423317;1.303342342;-2.190997362;no
galE;1.105678082;-2.164884329;2.544979811;-2.21089673;no
nagB;0.16864197;-2.139235735;1.663572311;-2.244685173;no
cmk;-1.67116344;-2.977099657;0.811471045;-2.279283762;no
bolA;-0.496142477;-2.177881718;1.976363659;-2.293359041;no
mog;-1.07704103;-2.490050793;0.881273091;-2.307572842;no
galK;2.688851833;-2.388355494;3.621524334;-2.314732552;no
galM;1.158983231;-2.490050793;2.515005827;-2.343732595;no
yhfA;-1.652901411;-3.120294094;0.979659557;-2.380821705;no
tatA;-1.756330848;-3.293359041;0.678071916;-2.411195517;no
putA;1.967537522;-2.126580477;3.176801443;-2.473931074;no
pta;-2.746615648;-6.158429146;0.240008965;-2.506352663;no
panD;-2.314732552;-3.023269653;0.73465544;-2.531156063;no
def;-0.985644698;-2.490050793;1.222804666;-2.531156063;no
xthA;-1.089267373;-2.573466778;0.925999403;-2.547931671;no
dhaM;0.159629166;-1.883635283;0.712815881;-2.547931671;no
ribB;-0.018878028;-1.888968587;1.755742192;-2.547931671;no
folA;-1.207561016;-2.83650136;0.673556447;-2.564904928;no
nuoG;-1.101598144;-2.481968403;1.272023201;-2.573466778;no
yaeH;-0.323732555;-2.910501719;1.614003062;-2.573466778;no
cspE;-0.913216174;-2.816037178;0.86314553;-2.599462032;no
nagE;0.665392756;-2.662003517;1.880489588;-2.60823226;no
gpmB;-0.880975962;-2.85725975;1.031395078;-2.617056131;no
clpA;0.032806147;-2.343732595;2.589044333;-2.652901411;no
rapA;-2.251538754;-2.442222357;-0.052894969;-2.662003517;no
hupB;-0.286304206;-3.132894278;1.596458077;-2.72737956;no
asnB;-1.932361364;-3.095419645;2.813524723;-2.78587532;no
rnr;-1.008682251;-2.98850441;1.206643224;-2.795859337;no
kdgR;-1.101598144;-3.307572842;1.215989113;-2.805912971;no
rpoZ;-1.261880755;-3.095419645;1.648005247;-2.816037178;no
gatA;1.724650264;-2.977099657;3.329123735;-2.816037178;no
uspG;-1.332789063;-3.184424639;1.015783072;-2.82623291;no
yajC;-1.52699244;-4.608232021;0.874206722;-2.878321409;no
ydgA;-0.985644698;-0.625934303;1.530070782;-2.899695158;no
iscR;0.021479707;-2.77595973;2.019345999;-2.899695158;no
manX;0.448900968;-3.158429384;2.029629707;-2.910501719;no
adeP;-1.0800879;-3.442222357;1.443606615;-2.910501719;no
nrdR;-1.514573216;-3.058893681;0.742437422;-2.943416595;no
